"Sc","Kgp"
33.253758238248,3.7346
10.178784,1.578
3.6305115,0.9731
20.8307715,0.6312
15.90435,0.8942
0.384352094065866,0.02
0.450200716799655,0.02
0.595765400450375,0.02
0.75939868724763,0.02
1.03778880129615,0.15
1.7089067190487,0.23
2.52640474270671,0.32
2.38024879462776,0.35
2.09974807476912,0.4
3.48459251082889,0.4
5.17604768735822,0.64
4.38728094558411,0.67
8.9041986838708,0.72
5.80583302491138,1.38
7.88780600816122,1.44
9.43308331616277,1.74
6.69577961715732,1.94
12.281287920441,2.37
13.5143423523454,2.6
22.0055454434798,2.69
16.8269341019521,2.72
18.9698871230611,3.12
27.3661964742114,3.22
28.2373001823394,3.48
15.4627722791512,3.67
13.201109380286,3.76
14.8001964794884,3.81
22.795996226619,4.24
30.4686029839164,4.41
37.1189598291627,4.55
20.4623946057843,4.75
39.1268853357738,6.03
35.158735586035,6.82
46.5267099853694,8.11
38.1169758683778,9.05
48.7462908474253,9.61
32.3084121382921,9.73
44.3537597567528,10.3
40.1486570224972,10.59
59.3057644135274,11.67
52.1626197837568,11.98
42.7547833160183,12.22
51.0122844861311,13.33
53.3244794730471,13.55
68.1567667413521,15.9
54.4978380738403,16.67
44.17875,11.34
11.0446875,3.3
1.0386915,0.24
5.5154715,0.9
5.9395875,0.87
0.950334,0.15
0.3318315,0.03
17.7205875,2.1
1.2271875,0.06
1.4313915,0.21
14.1862875,1.68
28.2744,8.1
13.690012875,3.96
60.1321875,7.65
5.5154715,1.62
35.7847875,4.5
33.18315,2.49
12.5664,2.16
11.0446875,1.17
28.2744,2.4
56.74515,3.3
28.2744,2.52
14.1862875,1.38
30.6796875,2.82
0.393878546194227,0.029
0.713598940349323,0.188
0.876719222554721,0.188
1.1508725891431,0.188
1.50744252018542,0.235
1.98007825211773,0.47
3.92202978480801,0.94
2.8856883679141,1.034
2.02817678025855,1.316
3.52759438632949,1.41
3.2914275809805,1.713
2.31963515452518,1.88
4.95047186562982,2.068
4.60797886816511,2.538
6.20454817740635,2.82
7.32131598611485,3.135
8.57437682965709,4.136
7.96759916080941,4.449
7.24241691858793,4.559
6.34842535426899,6.016
0.0170508110419802,0.01
0.187650679776687,0.01
0.246232874408959,0.11
0.309820493074827,0.11
0.527163146546675,0.11
0.824457785272776,0.14
0.607614908162487,0.16
1.37196697568624,0.22
0.964619941469139,0.29
1.94328202680578,0.55
2.06516731280151,0.76
1.59263492278012,0.87
1.48094844850926,0.92
2.38033795671822,1.32
2.51046893633121,1.32
3.70407055705357,1.43
3.26553936741724,1.47
2.98345532669668,1.53
3.40969271145519,1.87
4.63382612843171,2.29
6.50666163007839,2.42
5.12373620827863,2.65
6.15082292303654,2.72
4.16039763308414,2.78
4.31633898533728,2.92
4.95863714742336,3.42
5.80163152117203,3.52
7.6128283010744,3.93
6.68703384715346,4.33
7.05260809797752,4.5
10.6160104230332,4.93
15.8150343505005,4.93
7.99405509776127,5.13
9.98945805677976,5.25
16.2984026034175,5.61
13.0177112351593,5.85
9.57877872154287,5.93
13.4714120340741,6.16
13.357507975515,6.47
8.18695358749629,6.5
9.37557595539435,6.75
9.7834095186147,7.13
12.5691536035986,7.28
11.0406214685642,7.6
14.16147612109,7.61
11.5790288677411,8.41
14.3940054192485,10.96
14.8627840931975,18.09
3.95840674352314,1.5974
1.53152641862502,1.4344
3.45575191894877,0.978
0.75398223686155,0.1956
2.82743338823081,1.6626
3.1101767270539,1.1084
1.75929188601028,0.4238
1.42942465738336,0.9454
