"High","Low","Kgp","Sc","Fitted"
1.9920298632986,0.224403177416507,1.97,2.45,1.07922380389048
11.1911833596309,1.22603102744653,8.1,28.2744,6.21645248380613
1.44506578521099,0.175405190813935,0.782833333333335,1.64933614313464,0.813705503944906
2.26103682563212,0.266776513445122,3.18,3,1.24600239076179
19.1894030020968,2.05256062338293,11.67,59.3057644135274,10.5488092642251
2.0497409736202,0.239658383787487,1.36,2.55,1.11105115843134
1.10331614271303,0.122415115370057,1.1835,1.17809724509617,0.638936996108293
2.12176253003524,0.261064474309663,0.955733333333334,2.68606171881927,1.15358789980792
4.57260993658245,0.558115729491958,1.4,7.7931315,2.47571775440007
12.9828706990207,1.23838278933539,14.112,30.1769708722965,6.48439322538462
7.02110582827663,0.71965358649333,1.68,14.1862875,3.80334303524922
3.93358866304312,0.438594482136441,2.421,6.25763017924568,2.11322939426254
2.47469954327907,0.273974567281721,1.713,3.2914275809805,1.33371937167862
6.65855605544823,0.779088881521867,5.85,13.0177112351593,3.56697413462866
6.72869841103383,0.739703772637595,2.72,13.2,3.60924137355734
5.58532107461228,0.623071503356487,4.81,11.3,3.22399560039212
4.0574073018387,0.43880737265068,2.09,6.8,2.24349052027078
3.3304632564157,0.356213896039426,2.9982,4.94800842940392,1.78483528660073
0.531172424483701,0.0560449072658031,0.789,0.392699081698724,0.290939946862454
3.69139739829395,0.472966005892327,1.248,5.96131915402541,2.04339603193532
10.0019487142126,1.19269728036874,2.125,23.75835,5.50583780159458
1.56789770452022,0.205139703638473,0.23,1.7089067190487,0.834967936031791
5.78155135403016,0.653236377478336,1.28,11,3.16996274371543
15.9319370677255,1.80226120402814,11.14,44.2,8.53911953031538
0.584023761832571,0.0628205587121586,0.188,0.448941251534874,0.320521781861611
1.6023883101256,0.173059177431987,0.814,1.81434247800614,0.871022273172336
1.13566233351609,0.128067398525473,0.263,1.17809724509617,0.639706968372537
3.05463251883423,0.39890667894584,0.8153,4.90873852123405,1.77815692853014
4.22433369933734,0.518124311816336,12.942,7.35437365254937,2.35224099790667
2.63954938089855,0.323604005690004,2.6037,3.61283155162826,1.4250074246191
7.86882554674819,0.894250630823962,2.54,16.5162511778232,4.23941398132319
2.94042289130719,0.34892764015292,0.67,4.38728094558411,1.6410014244412
10.305303862172,1.17763112866848,3.54,23.82909671199,5.51319890254524
2.09064494842501,0.26142925367369,0.048,2.69913005782406,1.15892494125395
0.268620219443048,0.0277977477575072,0.02,0.141371669411541,0.140075877197627
3.62274248982091,0.417831222186464,2.82,6.20454817740635,2.09985975242066
3.65002978545537,0.467949899563535,0.87,5.9395875,2.03864657816423
4.51674518581184,0.560940910691753,1.1572,7.77544181763474,2.47232803845875
3.94837842256714,0.487295134514482,2.5088,6.28318530717959,2.11912275541906
6.93313447311218,0.836046016560101,1.268,14.86,3.93302110853075
1.47303348909648,0.187760193073034,0.06,1.7,0.832324428480927
2.09459060750934,0.240078171908602,4.902,2.66,1.14110954308191
2.7879381188778,0.295705880126228,0.707,3.97411470679109,1.528227328755
1.43171613585528,0.176156077883664,0.952,1.54698604685322,0.777117337247794
2.3403920185989,0.276107082755529,1.019,3.3,1.33708949896555
0.861681228288344,0.0931906855967627,0.02,0.75939868724763,0.467254516185416
1.01845884965835,0.102378471519238,0.048,1.06470124367693,0.594877335530542
1.50418194999547,0.157673619786284,0.366,1.67,0.821526338564176
0.398328700120025,0.0455184694531584,0.036,0.24,0.204700687681889
3.08718581143485,0.329834767022691,1.152,4.54632899708551,1.68259611156659
1.38562963267453,0.156855427322432,1.4344,1.53152641862502,0.771116623634866
10.3272145446396,1.32244878182109,3.51,25.8593191541242,5.8476205363735
2.41537622500705,0.272668967585053,0.584,3.3006,1.33802903129933
1.66668519808469,0.198375259960507,0.235,1.91851888255765,0.907068620290256
11.4294876612921,1.32067724039727,3.48,28.2373001823394,6.23061159773442
7.5734351757396,0.974240916936896,2.02,15.9,4.12656545915549
1.08130109820145,0.108903392181491,0.16,1.1,0.608931788562019
3.49953662892379,0.422369485191321,3.7872,5.41924732744239,1.90364083451476
6.08648928204101,0.757734546387272,3.03,11.8864908457504,3.34736392760811
0.15671549272316,0.0155194828270361,0.03,0.0707,0.0853171568696185
2.07072812088389,0.247334336236625,2.985,2.7350543941951,1.16639317079479
4.97858882747635,0.491206317694193,0.81,9.1,2.76782783955996
1.74448084074314,0.188276209819094,0.47,2.15892209710635,0.987259875322284
1.91005952147387,0.239856752837264,2.042,2.5,1.09486711059157
4.46108572930795,0.493606786836006,8.46,7.9,2.48602702317141
3.70732197924609,0.425275731042556,0.37,5.7,1.9800859086488
12.8083429352689,1.42770724102609,10.74,35.8,7.34579568798607
7.72674779542228,0.913016103625592,5.48,15.8972823681073,4.11824735031673
0.663334074238781,0.0782737221983959,0.01,0.5,0.34610054505975
6.14816447274564,0.74537358037505,1.72,11.6,3.29192928289616
3.89617620862925,0.492756251391951,1.09,6.87223392972767,2.26338278341166
4.03081835290835,0.450468192854341,1.63,6.28318530717959,2.12106593571816
3.44152026371325,0.410054598685021,3.74,5.7,1.97397803498263
3.70312017528373,0.426427315536944,2.37,6,2.05053780295371
2.37069868778705,0.299464524755825,1.283,3.3,1.33706212341056
0.122179319300737,0.0111679994373559,0.038,0.0488923985178303,0.0655158412559629
1.62720863359774,0.203868511569237,0.37,1.85926548752589,0.887084802711215
4.07470628264632,0.499537188579912,5.64480000000001,7.03716754404114,2.2926614519553
1.32041525513723,0.130870454046277,0.9454,1.42942465738336,0.734358006748967
1.34318909132162,0.145770738842003,0.382333333333332,1.42942465738336,0.734510888129245
1.88566695131297,0.230569626483387,1.037,2.36975344066108,1.05478478676308
7.75753795502811,0.881485978691269,2.81,17.3,4.38152991526955
5.74018946808343,0.639261616069235,1.47,10.9955742875643,3.16856666963202
3.6144341564595,0.439555432148012,1.62,5.5154715,1.93183003676515
6.7603031866514,0.758761062400385,6.96,12.728775,3.50733967762898
0.729980236324216,0.0825363684568876,0.316,0.617729071355683,0.402682616207265
1.19162910434888,0.141960105404943,0.14,1.3,0.686686758870639
7.27156275676384,0.875961461324446,5.76,14.8617315,3.92275006841471
0.119080046735963,0.0139851404029669,0.013,0.0503984021668373,0.0669545562665659
2.60483699978226,0.269417291905173,0.47,3.61283155162826,1.4277039159686
2.26192743017952,0.243828713331333,0.38,2.94524311274043,1.23363469338756
0.718405413126845,0.0795123099661271,0.094,0.642585834447536,0.414217072933577
3.6959129597081,0.504970871296792,4.33,6.68703384715346,2.21256053802084
0.770027171393071,0.0768595884803983,0.12,0.565486677646163,0.378134801099607
6.85278870190976,0.840100407756062,18.09,14.8627840931975,3.8950794213611
2.29910738482267,0.257727355823965,0.652,2.82743338823081,1.19731889197011
2.54423257596089,0.293077111641076,7.225,3.4,1.35724921933634
0.984946128065595,0.107547861209824,1.1835,0.942477796076938,0.544714833156321
