"Kgp","quantile..0.1","quantile..0.9","Sc","predicted_value","nodesize"
2.04700706595,2.4636474324,25.75,2.35619449019234,14.7785632107309,70
5.72,1.414998489828,33.8,1.25560709483776,15.4378856336315,70
134.6,12.2697057231984,198.9,11.0474280063749,78.7389584621333,70
275.1,12.17,136.13,8.01947861678975,53.2108200855899,70
0.6895435008,0.429290717856,6.8,0.628318530717959,3.4740940690825,70
2.873141491374,7.177275947226,58.03,3.97411470679109,28.0756124855715,70
32.71,24.8,273.6,10.2669777618452,118.356979974244,70
219.6,28.8,273.86,14.4997319255512,95.8764286554029,70
6.4827927857,5.56,45.64,3.07090681888402,21.9061665235488,70
177.2,14.2262736422736,107.58,6.80864189277905,45.2047266528996,70
264.86,135.26,483.7,46.6384814469068,281.746423006303,70
44.11,30.52,236.2,13.3891177842336,95.0622629315745,70
55.4,13.832736422736,107.58,6.50737588057049,46.5475970149324,70
12.0047893851,3.40663747116,45.64,2.69412,22.2597523761823,70
16,6.57807418884,55.14,3.33760334136388,24.6220265680984,70
26.76,6.57807418884,46.3010000000002,3.15498570372191,24.3589868718935,70
49.13,48.49,335.536432868604,21.5597049071007,144.426818780356,70
15.99,7,36.52,4.21627367151609,19.3954503541289,70
19.83,7,55.14,3.9438081173001,25.6953402081933,70
41.83,29.193825280112,236.2,13.0245328968838,97.4483648442516,70
9.93,1.8612019118,34.96,1.94349534512827,15.9513867666578,70
140.15,28.8,218.5,13.1386415209822,84.7871732819737,70
9.70374219276,8.99995585566,57.9,4.90873852123405,25.8432587273699,70
45.3,9.83,137.9,5.47676979631323,53.799604390552,70
33.4,13.832736422736,112.854618952126,6.66338170134786,49.2082828054236,70
6.9,1.42055686773,27.02,1.50806097553669,11.8452438989902,70
273.86,28.8,184.541,12.1145960292353,81.6095020605819,70
198.9,25.578,273.86,11.6534599435494,98.0569165649055,70
6.404379110745,1.414998489828,28.3,1.41371669411541,11.7985778206807,70
4.98,0.429290717856,6.8,0.847706448427342,3.36969814414972,70
31.37,30.52,239.940000000001,12.3187355404316,98.6270429357969,70
152.5,143.990462662338,626.57,57.4125855593495,391.824949374925,70
8.77,2.4636474324,34.96,1.83146630316035,16.3900433245572,70
24.26,7,55.14,3.96549742668342,24.3638347269691,70
5.56,5.148520179264,45.64,3.08754569888708,22.4939247447994,70
47.75,28.8,219.6,14.3759516068051,93.0921317906491,70
48.65,52.21,229.47,24.9287121549419,137.270063704923,70
62.39530635616,8.99995585566,45.9,5.335488,23.8145317673335,70
19.199563439012,3.91243181175,62.9950000000005,2.835294,24.6287114567525,70
61.1,41.226040075121,495.2,19.6884038940857,171.43235443893,70
107.58,11.29,74.15,6.09639508638424,37.9819839112551,70
121.59,52.21,258.95630800414,29.6984174672105,145.651097857151,70
61.8,15.533,139.44,7.76981719293575,60.5921633802684,70
11.5,7,40.515269711813,4.25588213098292,20.0872081253768,70
21.33,5.5188520179264,96.7,2.76629765963755,40.6791628302673,70
23.66,4.042098634266,85.8,2.84503750817752,26.1483592969428,70
124.8,49.13,229.47,25.073282124326,136.028967366944,70
47.63,29.193825280112,236.2,11.8473069767553,93.695438076491,70
245.4,11.9,137.9,5.8082582941149,54.9755754022247,70
88.12,106.476,467.364321691177,38.8181092508762,268.162063797636,70
15.17,8.99995585566,57.9,4.97087915220543,24.1444196039532,70
0.952806250704,0.429290717856,7.29,0.812887099116359,3.86725539826703,70
626.57,152.5,746.96,60.5111999652808,407.653195680046,70
168.5,85.72,392.73,32.7174143169032,202.510402740321,70
68.911390215177,30.52,273.626,11.945934,97.4934278886306,70
30.8,19.83,159.35,9.78937298533103,76.0676685181437,70
9.83,8.99995585566,74.15,5.35220481407267,34.9907819892606,70
34.2,11.605539984115,61.99,4.47654258136622,35.3493565077738,70
19.6,2.04700706595,33.12,2.49996531447736,17.6505701940217,70
11.66,1.8612019118,26.3,2.12697127758583,14.1784106679378,70
26.3,2.7900204024,34.96,1.78942462479031,16.0641116219002,70
28.16703168403,13.832736422736,112.81,6.9708,49.5555663568176,70
24.4512406098803,54.4499514578559,286.403479910714,28.2744,152.153787173246,70
14.14,5.56,45.64,3.00495709478695,24.2660661315068,70
0.927249785,0.358234009056,6.8,0.392699081698724,3.43262412309189,70
7.56206550802139,10.2,147.89938850518,5.5154715,57.2548498723837,70
110.7,7.09982455875,58.03,3.65156812552967,25.775082187662,70
191.968101126814,89.84,447.172086993889,33.18315,245.768375604021,70
12.64,5.56,53.0360000000002,3.00495709478695,25.3680854221939,70
136.13,12.95,100.631112641648,7.26644386915473,46.0487770933584,70
18.16,6.61287812955,52.25,3.54206267466724,23.7066873685304,70
0.483455588,0.358234009056,6.8,0.376991118430775,3.52518367579682,70
113.31,41.226040075121,475.8,20.0302549530026,152.662261731847,70
8.06054755506,1.414998489828,27.02,1.42942465738336,11.3353918806777,70
23.3,11.35,62.39530635616,4.59325788559698,35.6742178136195,70
53.3,12.95,113.256189521263,7.0527197104644,50.5303100528661,70
46.88,30.52,219.6,13.6154618849965,94.1272885628088,70
2.9,0.358234009056,6.8,0.783553315109649,3.51151998864398,70
203.56,134.434,483.7,47.381721019632,285.468799301522,70
662.3,38.67,545.1,15.2747866751183,213.400442815061,70
99.99,13.832736422736,112.81,6.53830869034767,48.5388409614715,70
60.11,7.09982455875,46.48,3.91426478990672,22.9764089859513,70
31.88,28.8,290.93,14.990214998009,115.153097868346,70
129.121424592564,28.8,218.5,14.1862875,85.9027878162486,70
54.07,13.832736422736,113.256189521263,6.59874254542341,52.4667972816758,70
