"Low","High","Fitted","Sc","Kgp","X0.8"
1.389,7.271,4.0708882,14.8617315,5.76,0.8
0.02,0.292,0.140349533333333,0.0503984021668373,0.013,0.8
0.438666666666666,2.978,2.22708826666667,3.61283155162826,0.47,0.8
0.315,2.6286,1.27878216666667,2.94524311274043,0.38,0.8
0.02,0.292,0.165710866666667,0.642585834447536,0.094,0.8
0.774,5.75040000000001,2.78354796666667,6.68703384715346,4.33,0.8
0.01,0.3002,0.133993466666667,0.565486677646163,0.12,0.8
1.6158,6.96,3.8178126,14.8627840931975,18.09,0.8
0.34,2.28288000000001,1.34557326666667,2.82743338823081,0.652,0.8
0.35,3.005,1.62401136666667,3.4,7.225,0.8
0.026,0.453,0.1904602,0.942477796076938,1.1835,0.8
2.244,8.076,4.65480893333333,30.4686029839164,4.41,0.8
1.054,6.443,3.15763166666667,11,1.34,0.8
1.4538,6.769,4.16168373333333,15.9,1.84,0.8
0.206,1.69653333333334,0.744870133333334,2.11859763553896,1.668,0.8
0.45775,3.58325,1.9731326,3.8,4.635,0.8
1.364,7.296,3.75010066666667,14.16147612109,7.61,0.8
1.149,7.27,3.72899333333333,12.3700210735098,5.52533333333334,0.8
0.437,3.7502,1.79129776666667,4.9,0.295,0.8
0.6101,4.3299,2.2110993,5.89048622548086,3.02,0.8
4.4,14.26,9.17615106666667,31.4159265358979,4.69,0.8
0.442,3.619,1.75664976666667,3.8,1.223,0.8
0.1654,1.4766,0.646832733333333,1.8,0.465,0.8
1.594,8.391,4.7366592,16.8269341019521,2.72,0.8
0.592,4.433,2.269698,4.95221131209284,2.112,0.8
0.19059,1.52641,0.698004733333333,2,0.475,0.8
0.03,0.2728,0.160643933333333,0.376991118430775,0.05,0.8
0.02,0.292,0.157168666666667,0.4,0.04,0.8
0.03,0.236200000000001,0.140764666666667,0.297747455170348,0.047,0.8
0.36,3.036,1.6672172,3.7,1.407,0.8
0.038,0.7272,0.3468839,1.1065432038198,0.781,0.8
0.269,1.8946,1.00407303333333,2.19911485751286,0.559166666666668,0.8
2.891,14.096,7.89982946666667,33.2,6.26,0.8
0.165,1.5194,0.666833066666667,2,0.28,0.8
0.02,0.29796,0.150200933333333,0.568519792831625,0.047,0.8
0.14,0.986,0.5270074,1.65918684164248,0.893,0.8
0.179,1.7154,0.801579733333333,2.17,0.915,0.8
1.591,6.58,3.79598386666667,15.9,4.6,0.8
3.81639164714898e-17,0.31,0.1343076,0.5,0.04,0.8
1.85,7.72200000000001,4.42947226666667,22.9728962793754,2.65166666666666,0.8
0.04,0.2171,0.115121,0.66,0.048,0.8
1.697,7.963,4.506945,15.9,3.32,0.8
0.400566666666666,2.70503333333333,1.3579217,3.1101767270539,1.1084,0.8
0.74,5.27753333333334,2.4647289,6.4,0.6,0.8
0.79,6.9634,3.2443024,8.57437682965709,4.136,0.8
0.13,1.238,0.585324666666667,1.83783170235003,0.369999999999999,0.8
0.405,2.9619,1.52718833333333,3.3,0.727,0.8
1.46,8.45,4.34384073333333,24.6,6.39,0.8
1,5.61533333333334,2.8263346,10.6589655,3.28,0.8
