"Kgp","quantile..0.1","quantile..0.9","Sc","predicted_value","nodesize"
0.652,0.33,2.2092,2.82743338823081,1.2065658,100
7.225,0.394666666666666,2.832,3.4,1.6411214,100
1.1835,0.07,0.6581,0.942477796076938,0.2892894,100
4.41,3.196,12.331,30.4686029839164,7.23602933333333,100
1.34,1.09,6.5,11,2.93909723333333,100
1.84,1.67,6.47,15.9,3.97079253333333,100
1.668,0.2602,1.7944,2.11859763553896,0.791034933333333,100
4.635,0.288,2.783,3.8,1.55556166666667,100
7.61,1.38,6.63040000000001,14.16147612109,3.683002,100
5.52533333333334,1.15,6.977,12.3700210735098,3.539433,100
0.295,0.64,3.42,4.9,1.89881563333333,100
3.02,0.576,4.33,5.89048622548086,2.1868899,100
4.69,2.875,14.112,31.4159265358979,7.665025,100
1.223,0.3156,3.01638,3.8,1.78083663333333,100
0.465,0.16,1.498,1.8,0.674476733333333,100
2.72,1.83,6.59944,16.8269341019521,4.0779092,100
2.112,0.45,3.42,4.95221131209284,1.8767961,100
0.475,0.1494,1.668,2,0.6503488,100
0.05,0.02,0.26844,0.376991118430775,0.114672733333333,100
0.04,0.02,0.238,0.4,0.119636,100
0.047,0.02,0.188,0.297747455170348,0.0838514,100
1.407,0.584,4.635,3.7,2.77249906666667,100
0.781,0.09,0.7172,1.1065432038198,0.359474133333333,100
0.559166666666668,0.278,1.88,2.19911485751286,0.862752033333333,100
6.26,3.422,14.112,33.2,8.05103626666667,100
0.28,0.1735,1.668,2,0.683410666666667,100
0.047,0.0354,0.316,0.568519792831625,0.1777182,100
0.893,0.144,1.21344,1.65918684164248,0.583216633333333,100
0.915,0.2299,1.872,2.17,0.830438033333333,100
4.6,1.679,6.596,15.9,4.02740466666667,100
0.04,0.02,0.292,0.5,0.1318292,100
2.65166666666666,2.125,8.07,22.9728962793754,4.49223,100
0.048,0.04,0.3156,0.66,0.185766933333333,100
3.32,1.7,6.596,15.9,3.8985756,100
1.1084,0.36,2.69754,3.1101767270539,1.48709033333333,100
0.6,0.787,5.4,6.4,2.71723236666667,100
4.136,0.79,6.27500000000001,8.57437682965709,2.94305036666667,100
0.369999999999999,0.15,1.498,1.83783170235003,0.677558666666667,100
0.727,0.36,2.995,3.3,1.6996052,100
6.39,2.125,8.1,24.6,4.63564793333333,100
3.28,0.97,5.73440000000001,10.6589655,2.60987833333333,100
2.86,1.125,8.41,11.3,4.00709593333333,100
3.12,1.817,6.24,18.9698871230611,3.94928346666667,100
1.28,0.308,2.042,2.6,1.0975568,100
1.108,0.32,2.2092,2.9,1.1849166,100
0.188,0.047,0.31564,0.713598940349323,0.183384266666667,100
4.38,3.7346,14.44,38.5,8.46563026666667,100
8.83,3.43,14.112,38.5,8.13066113333333,100
1.15,1.407,7.28,11.9,3.83484113333333,100
0.8942,1.839,6.71,15.90435,4.10860906666667,100
4.91,1.7,6.47,15.9,3.9692076,100
1.674,0.36,2.6826,3,1.3939368,100
0.35,0.23,1.88,2.1,0.8655319,100
0.426,0.175,1.498,1.8869,0.702287466666667,100
0.282,0.12,0.985600000000001,1.31234655184194,0.525894933333333,100
2.247,0.47,3.18,3.7,2.60013006666667,100
0.983,0.288,3.466,4.05,1.74502356666667,100
0.686933333333334,0.1,0.746666666666668,1.02101761241668,0.3536218,100
3.45,1.85,6.39,19.6,3.92300773333333,100
1.4728,1.125,6.5,11.0446875,2.8940412,100
2.42,1.09,5.98180000000001,11,2.6872998,100
3.43,2.875,13.6062,30.7,7.47447626666667,100
0.165,0.047,0.31236,0.749239110561119,0.177227333333333,100
0.62,0.431666666666666,2.995,3.53429173528852,1.91894693333333,100
11.34,3.7346,13.55,44.17875,8.36434493333333,100
4.08,1.849,6.76700000000001,19.6,4.17637306666667,100
1.152,0.2943,3.466,3.97560332907502,1.75146326666667,100
3.22,2.2285,8.13400000000001,27.3661964742114,4.8001436,100
1.575,1.125,6.473,11.0446875,2.970527,100
3.875,3.70414,14.44,50.2656,8.72314693333333,100
3.68,0.6,3.7872,5.335488,2.04297966666667,100
0.144,0.15,1.4159,1.61995582893468,0.627015866666667,100
0.431666666666666,0.468,2.832,3.45575191894877,1.75303586666667,100
0.144,0.229,1.5062,1.9050585795363,0.704905566666667,100
0.138,0.0463,0.3156,0.75,0.184901733333333,100
3.76,1.65,7.28,13.201109380286,4.1409372,100
1.63,1.01,5.93,10.4457955731861,2.78402816666667,100
0.08,0.019,0.138,0.157015830798444,0.069412,100
