"Sc","Low","High","Kgp","Fitted"
2.45,0.191919191919192,1.49632925472747,1.97,0.854434208438542
28.2744,1.86857619577308,15.3315072302558,8.1,8.60084701668689
1.64933614313464,0.131313131313131,1,0.782833333333335,0.588066296475298
3,0.232323232323232,1.80653503893215,3.18,1.03447082224342
59.3057644135274,3.79185205784205,30.9658787541713,11.67,17.3087491190618
2.55,0.191919191919192,1.55837041156841,1.36,0.8873229966731
1.17809724509617,0.101010101010101,0.757575757575758,1.1835,0.428020839278017
2.68606171881927,0.202020202020202,1.62041156840934,0.955733333333334,0.931956946292758
7.7931315,0.555555555555556,4.53634593993326,1.4,2.54764407899629
30.1769708722965,1.99265850945495,16.2621245828699,14.112,9.14624558689152
14.1862875,0.97979797979798,8.01065072302558,1.68,4.48493467296122
6.25763017924568,0.454545454545455,3.66776974416018,2.421,2.07091748012873
3.2914275809805,0.252525252525253,1.99265850945495,1.713,1.12909663531065
13.0177112351593,0.898989898989899,7.32819799777531,5.85,4.13531399292169
13.2,0.919191919191919,7.45228031145718,2.72,4.18996379447092
11.3,0.787878787878788,6.39758064516129,4.81,3.61815280251872
6.8,0.484848484848485,3.97797552836485,2.09,2.2399810635437
4.94800842940392,0.363636363636364,2.92327586206897,2.9982,1.65913857096972
0.392699081698724,0.0404040404040404,0.262626262626263,0.789,0.151708021362772
5.96131915402541,0.434343434343434,3.48164627363737,1.248,1.97821128545722
23.75835,1.62041156840934,13.0359844271413,2.125,7.29773150918646
1.7089067190487,0.141414141414141,1.06204115684093,0.23,0.60809901180461
11,0.777777777777778,6.27349833147942,1.28,3.52739608040136
44.2,2.86123470522803,23.3968576195773,11.14,13.1137348816395
0.448941251534874,0.0404040404040404,0.303030303030303,0.188,0.172143044588058
1.81434247800614,0.141414141414141,1.12408231368187,0.814,0.643460801290897
1.17809724509617,0.101010101010101,0.757575757575758,0.263,0.428020839278017
4.90873852123405,0.363636363636364,2.92327586206897,0.8153,1.64670394695126
7.35437365254937,0.525252525252525,4.22614015572859,12.942,2.41200892979009
3.61283155162826,0.272727272727273,2.17878197997775,2.6037,1.23291501856775
16.5162511778232,1.1861234705228,9.25147385984427,2.54,5.17735461840144
4.38728094558411,0.323232323232323,2.61307007786429,0.67,1.48104049218402
23.82909671199,1.62041156840934,13.0359844271413,3.54,7.31824623580062
2.69913005782406,0.212121212121212,1.62041156840934,0.048,0.936237158259287
0.141371669411541,0.0202020202020202,0.101010101010101,0.02,0.0578239793074277
6.20454817740635,0.444444444444444,3.60572858731924,2.82,2.05432820525171
5.9395875,0.434343434343434,3.48164627363737,0.87,1.97140215981902
7.77544181763474,0.555555555555556,4.53634593993326,1.1572,2.54218400759802
6.28318530717959,0.454545454545455,3.66776974416018,2.5088,2.07890120270238
14.86,1.06204115684093,8.32085650723026,1.268,4.68576007419301
1.7,0.141414141414141,1.06204115684093,0.06,0.605106326680417
2.66,0.202020202020202,1.62041156840934,4.902,0.923417592211141
3.97411470679109,0.303030303030303,2.36490545050056,0.707,1.34900175379252
1.54698604685322,0.121212121212121,0.97979797979798,0.952,0.553552023046527
3.3,0.252525252525253,1.99265850945495,1.019,1.13187278314988
0.75939868724763,0.0707070707070707,0.505050505050505,0.02,0.282756047224938
1.06470124367693,0.0909090909090909,0.686868686868687,0.048,0.389016442996217
1.67,0.131313131313131,1.06204115684093,0.366,0.595019758126426
0.24,0.0303030303030303,0.161616161616162,0.036,0.0953040295376871
4.54632899708551,0.333333333333333,2.67511123470523,1.152,1.53167996284394
1.53152641862502,0.121212121212121,0.96969696969697,1.4344,0.548327859683828
25.8593191541242,1.74449388209121,14.0906840934372,3.51,7.90554843689506
3.3006,0.252525252525253,1.99265850945495,0.584,1.13206707594235
1.91851888255765,0.151515151515152,1.1861234705228,0.235,0.678287514642128
28.2373001823394,1.93061735261402,15.3315072302558,3.48,8.59019186835158
15.9,1.12408231368187,8.87922691879866,2.02,4.99478151778967
1.1,0.0909090909090909,0.707070707070707,0.16,0.401181822491841
5.41924732744239,0.404040404040404,3.1714404894327,3.7872,1.80793655706825
11.8864908457504,0.828282828282828,6.7698275862069,3.03,3.79519409402101
0.0707,0.0101010101010101,0.0505050505050505,0.03,0.0300596423067079
2.7350543941951,0.212121212121212,1.68245272525028,2.985,0.947997338709924
9.1,0.646464646464647,5.21879866518354,0.81,2.94920732174207
2.15892209710635,0.171717171717172,1.31020578420467,0.47,0.758262082135296
2.5,0.191919191919192,1.49632925472747,2.042,0.870887793466432
7.9,0.565656565656566,4.53634593993326,8.46,2.58061528095516
5.7,0.424242424242424,3.35756395995551,0.37,1.89623928108656
35.8,2.36490545050056,19.1780589543938,10.74,10.747390080509
15.8972823681073,1.12408231368187,8.87922691879866,5.48,4.99397551592675
0.5,0.0505050505050505,0.333333333333333,0.01,0.190570445393332
11.6,0.808080808080808,6.58370411568409,1.72,3.70877495011997
6.87223392972767,0.494949494949495,3.97797552836485,1.09,2.26243912120804
6.28318530717959,0.454545454545455,3.66776974416018,1.63,2.07890120270238
5.7,0.414141414141414,3.35756395995551,3.74,1.89623928108656
6,0.434343434343434,3.54368743047831,2.37,1.99032763133353
3.3,0.252525252525253,1.99265850945495,1.283,1.13187278314988
0.0488923985178303,0.0101010101010101,0.0303030303030303,0.038,0.0212205977200578
1.85926548752589,0.151515151515152,1.12408231368187,0.37,0.658492139376839
7.03716754404114,0.505050505050505,4.10205784204672,5.64480000000001,2.31366898364702
1.42942465738336,0.111111111111111,0.909090909090909,0.9454,0.513749774341436
